customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
7590-VHVEG,1,0,1,0,-1.2774445836787656,0,2,1,0,1,0,0,0,0,0.0,1,1,-1.1603229160349193,-0.9930416670913267,0
5575-GNVDE,0,0,0,0,0.06632741908223598,1,0,1,1,0,1,0,0,0,1.0,0,0,-0.2596289419448806,-0.17259375053008616,0
3668-QPYBK,0,0,0,0,-1.2367242199587352,1,0,1,1,1,0,0,0,0,0.0,1,0,-0.3626603559551803,-0.9584969560614311,1
7795-CFOCW,0,0,0,0,0.5142514200025698,0,2,1,1,0,1,1,0,0,1.0,0,2,-0.7465354629935549,-0.19410147291459962,0
9237-HQITU,1,0,0,0,-1.2367242199587352,1,0,2,0,0,0,0,0,0,0.0,1,1,0.19736523310080326,-0.9393054499337115,1
9305-CDSKC,1,0,0,0,-0.9924020376385531,1,1,2,0,0,1,0,1,1,0.0,1,1,1.1595456961969886,-0.6442194988181866,1
1452-KIOVK,0,0,0,1,-0.4223169455581282,1,1,2,0,1,0,0,1,0,0.0,1,3,0.8089065291619363,-0.1461668260001916,0
6713-OKOMC,1,0,0,0,-0.9109613101984924,0,2,1,1,0,0,0,0,0,0.0,0,0,-1.1636465100352518,-0.8730175465845187,0
7892-POOKP,1,0,1,0,-0.1779947632379461,1,1,2,0,0,1,1,1,1,0.0,1,1,1.330710787214099,0.33765766124035607,1
6388-TABGU,0,0,0,1,1.2064976032430856,1,0,1,1,1,0,0,0,0,1.0,0,2,-0.28621769394753876,0.5326168924550534,0
9763-GRSKD,0,0,1,1,-0.7888002190384014,1,0,1,1,0,0,0,0,0,0.0,1,0,-0.4922805219681379,-0.7470374414173838,0
8091-TTVAX,0,0,1,0,1.0436161483629645,1,1,2,0,0,1,0,1,1,1.0,0,3,1.182810854199314,1.5001996893288119,0
0280-XJGEX,0,0,0,0,0.6771328748826912,1,1,2,0,1,1,0,1,1,0.0,1,2,1.2941512532104444,1.215724214589647,1
5129-JLPIS,0,0,0,0,-0.30015585439803716,1,0,2,1,0,1,1,1,1,0.0,1,1,1.3539759452164248,0.1788314036316412,0
8191-XWSZG,1,0,0,0,0.7992939660427822,1,0,0,2,2,2,2,2,2,1.0,0,0,-1.4660935640654862,-0.5549017881157302,0
4190-MFLUW,1,0,1,1,-0.9109613101984924,1,0,1,0,0,1,1,0,0,0.0,0,3,-0.31779183695069496,-0.7731114187081479,1
4183-MYFRB,1,0,0,0,-0.46303730927815856,1,0,2,0,1,1,0,0,1,0.0,1,1,0.8404806721650927,-0.18432924623117447,0
8779-QRDMV,0,1,0,0,-1.2774445836787656,0,2,1,0,0,1,0,0,1,0.0,1,1,-0.8346107040023594,-0.9887180634119783,1
1680-VDCWW,0,0,1,0,-0.8295205827584317,1,0,0,2,2,2,2,2,2,1.0,0,2,-1.4943441130683104,-0.9169815370587088,0
1066-JKSGK,0,0,0,0,-1.2774445836787656,1,0,0,2,2,2,2,2,2,0.0,0,0,-1.4827115340671475,-0.9973211523657837,1
6322-HRPFA,0,0,1,1,0.6771328748826912,1,0,1,1,1,0,1,0,0,0.0,0,3,-0.17155370093607614,0.304237969535189,0
6865-JZNKO,1,0,0,0,-0.0965540357978854,1,0,1,1,1,0,0,0,0,0.0,1,2,-0.31446824295036285,-0.33093470568499667,0
6467-CHFZW,0,0,1,1,0.5956921474426305,1,1,2,0,1,0,0,1,1,0.0,1,1,1.1495749141959914,1.089038214944251,1
8665-UTDHZ,0,0,1,1,-1.2774445836787656,0,2,1,0,1,0,0,0,0,0.0,0,1,-1.1486903370337564,-0.9928872526742072,1
8773-HHUOZ,1,0,0,1,-0.62591876415828,1,0,1,0,0,0,0,1,1,0.0,1,0,-0.0020504069191315333,-0.5239527270844765,1
4929-XIHVW,0,1,1,0,-1.2367242199587352,1,0,2,0,0,1,0,1,1,0.0,1,3,1.0216165451832002,-0.9260699284663185,0
6827-IEAUQ,1,0,1,1,-0.21871512695797646,1,0,1,1,1,1,1,0,0,1.0,0,0,0.046141706085686136,-0.17923357046622823,0
7310-EGVHZ,0,0,0,0,-1.2774445836787656,1,0,0,2,2,2,2,2,2,0.0,0,2,-1.481049737066981,-0.9972990931633381,0
3413-BMNZE,0,1,0,0,-1.2774445836787656,1,0,1,0,0,0,0,0,0,0.0,0,2,-0.6484894399837535,-0.986247432738065,0
6047-YHPVI,0,0,0,0,-1.1145631287986442,1,0,2,0,0,0,0,0,0,0.0,1,1,0.16412929309748078,-0.8663997858508222,1
6572-ADKRS,1,0,0,0,0.5549717837226001,1,0,2,0,0,1,0,0,0,0.0,1,3,0.33363258711442517,0.559242349806959,0
5380-WJKOV,0,0,0,0,0.06632741908223598,1,1,2,0,1,1,0,1,1,0.0,1,1,1.3822264942192488,0.5596614746534263,1
8168-UQWWF,1,0,0,0,-0.8702409464784621,1,1,2,0,0,1,0,1,1,0.0,1,2,1.099721004191008,-0.5185261632828453,1
8865-TNMNX,0,0,1,1,-0.9109613101984924,1,0,1,0,1,0,0,0,0,1.0,0,0,-0.5055748979694671,-0.7963397588834225,0
9867-JCZSP,1,0,1,1,-0.62591876415828,1,0,0,2,2,2,2,2,2,1.0,0,0,-1.462769970065154,-0.8216857824934799,0
4080-IIARD,1,0,1,0,-0.7888002190384014,1,1,1,1,1,0,1,1,0,0.0,1,1,0.3801629031190768,-0.5732109261456237,0
3714-NTNFO,1,0,0,0,0.6771328748826912,1,1,2,0,0,0,0,0,1,0.0,1,1,0.6560212051466532,0.7173627129374127,0
5948-UJZLF,0,0,0,0,-1.2367242199587352,1,0,1,0,1,0,0,0,0,0.0,0,0,-0.5155456799704636,-0.9634161582068123,0
7760-OYPDY,1,0,0,0,-1.2367242199587352,1,0,2,0,0,0,0,1,0,0.0,1,1,0.5280628361338618,-0.9426143303005596,1
